44,stats_log,1,False,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heut gehen?",37.0,35.0,8.445,42.628774422735354
103,stats_log,1,False,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den schweinen Perlen vor die Füße,45.0,43.0,9.064,52.9567519858782
155,stats_log,1,False,"Die Fantasie von Kindern is unermesslich.
",Die Fnatsie von Kindern ist unermesslich,42.0,40.0,7.407,48.602673147023076
196,stats_log,1,True,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37.0,36.0,9.675,37.2093023255814
247,stats_log,1,True,"Du wirfst den Schweinen Perlen vor die füße.
",Di wirfst den schweinen Perlen vor die Füße,45.0,43.0,11.704,41.01161995898838
287,stats_log,1,True,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich,42.0,41.0,6.8,52.941176470588246
329,stats_log,2,True,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37.0,36.0,10.603,33.952654908988016
378,stats_log,2,True,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den schweinen Perlen vor die Füße,45.0,43.0,11.984000000000002,40.05340453938585
419,stats_log,2,True,"Die Fantasie von Kindern is unermesslich.
",DIe Fantasie von kindern ist unermesslich,42.0,41.0,6.935,51.910598413842834
496,stats_log,2,False,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen=",37.0,36.0,14.5,24.82758620689655
551,stats_log,2,False,"Du wirfst den Schweinen Perlen vor die füße.
",Du wifst den schwienen perlen vor die Füße,45.0,42.0,8.4,57.14285714285714
606,stats_log,2,False,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindenr ist unermmsesslich,42.0,43.0,7.952000000000001,45.27162977867203
45,stats_log,3,False,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37.0,36,8.517,42.268404367735116
104,stats_log,3,False,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45.0,44,8.005,59.962523422860706
164,stats_log,3,False,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42.0,42,8.642,41.65702383707475
209,stats_log,3,True,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37.0,36,7.795,46.18345093008338
275,stats_log,3,True,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45.0,44,9.462,50.7292327203551
319,stats_log,3,True,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42.0,42,6.335,56.82715074980268
363,stats_log,4,True,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin wollen wir heute gehen?",37.0,36,8.71,41.33180252583237
424,stats_log,4,True,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die Füße.,45.0,44,9.159,52.40746806419915
467,stats_log,4,True,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42.0,42,7.741,46.505619429014345
514,stats_log,4,False,"Hallo, wohin wollen wir heute gehen?
","Hallo, wohin sollen wir heute gehen?",37.0,36,6.033,59.67180507210343
586,stats_log,4,False,"Du wirfst den Schweinen Perlen vor die füße.
",Du wirfst den Schweinen Perlen vor die füße.,45.0,44,10.224,46.94835680751173
650,stats_log,4,False,"Die Fantasie von Kindern is unermesslich.
",Die Fantasie von Kindern ist unermesslich.,42.0,42,8.117,44.35136134039669
